communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Shermancity,TX,?,?,1,31601,2.54,12.63,83.22,0.77,4.39,15.73,28.57,15.16,14.26,31596,100,24763,73.92,1.54,37.36,32.68,7.02,15.2,29509,12929,14051,7496,9126,9107,5267,4542,4698,15.61,9.07,24.86,19.23,7.19,57.76,25.33,27.59,15.74,27.28,11.48,27.6,15.26,13.53,2.99,68.41,64.64,75.18,70.94,67.43,72.96,603,2.47,938,17.91,35.39,56.08,65.46,0.53,1.05,1.66,1.94,94.85,0.81,3.66,2.51,2.42,2.5,2.31,59.76,3.41,52.11,2,1807,87.33,57.83,2.77,42.34,1965,7.89,0.3,32200,49800,73600,41400,234,305,376,142,380,23.8,17.1,12.9,1,0,2.97,65.73,44.95,74.82,88.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38.7,816.1,0,?,?,?,?,0,?,1,3.11,29,90.25,71,220.96,131,407.69,468,1456.49,1817,5654.8,151,469.94,6,18.67,722.02,7599.9
SanPablocity,CA,?,?,1,25158,2.89,21.34,49.42,17.21,26.78,13.65,28.82,13.23,9.44,25158,100,25479,73.45,0,24.98,22.99,23.63,13.18,28567,10505,11407,10412,8238,9546,8330,7813,4689,19.02,14.03,34.18,11.64,10.16,55.94,15.39,20.63,17.38,14.03,13.91,35.23,18.96,16.57,3.47,58.06,56.36,61.46,57.16,58.63,61.68,1479,7.44,6645,21.87,32.75,47.67,62.3,5.78,8.65,12.59,16.46,60.3,10.8,12.43,8.45,2.84,2.9,2.79,48.07,18.18,72.06,2,714,92.42,47.14,3.78,18.35,1963,6.25,0.64,92800,117900,142700,49900,406,503,596,190,564,33,24.3,11.8,20,49,26.41,47.45,38.61,69.21,89.27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.7,9387.3,11.22,?,?,?,?,0,?,12,44.42,21,77.73,309,1143.81,362,1340,478,1769.39,1460,5404.4,430,1591.71,20,74.03,2605.96,8839.53
BowlingGreencity,KY,?,?,1,40641,2.54,12.18,86.39,1.12,0.68,21.51,36.83,23.96,11.5,0,0,20043,75.23,1.24,34.02,27.11,9.6,13.84,27655,11760,12608,6016,6636,9119,1982,16133,8759,23.91,15.28,28.52,23.41,6.93,58.62,16.08,29.05,15.13,27.47,10.16,39.19,13.43,11.95,2.92,64.6,60.7,71.28,67.77,58.45,68.49,996,3.56,626,33.23,49.52,53.51,59.74,0.51,0.76,0.82,0.92,96.72,0.59,2.99,1.87,2.29,2.4,2.17,53.11,2.49,53.27,2,1528,91.27,50.59,1.51,28.93,1966,10.67,0.23,40600,58200,84900,44300,193,267,329,136,332,27.9,20,12.3,28,2,1.54,70.53,41.51,72.68,88.87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,1354.2,0.28,?,?,?,?,0,?,3,6.54,36,78.53,58,126.52,269,586.8,582,1269.58,1786,3895.99,148,322.85,9,19.63,798.39,5508.05
PineBluffcity,AR,?,?,1,57140,2.74,53.52,45.65,0.49,0.43,16.51,28.17,14.68,13.38,57140,100,19143,69.31,0.63,24.41,33.46,13.58,14.16,24442,9530,13974,5688,7669,12183,23509,10718,15283,27.71,14.49,34.5,16.56,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,12.74,3.26,58.65,50.22,63.07,59.7,64.38,70.59,4401,8.51,407,26.04,32.43,34.15,39.31,0.19,0.23,0.24,0.28,96.83,0.54,7.86,5.5,2.64,2.64,2.65,61.62,5.43,46.91,3,2318,90,61.74,4.06,39.65,1964,11.65,0.73,28100,41200,59900,31800,152,219,287,135,333,29.1,17.5,15.7,28,0,0.71,80.16,56.01,85.46,92.02,111,189.09,89,151.61,39900,67969.3,359.5,189.1,63.67,81.98,18.02,0,0,18.02,12,7,72.1,43.9,1301.5,0.93,44,3761016,80.18,10,10.81,64068.5,16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,2010,3424.02,517,880.7,46,78.36,1476.93,7371
NewUlmcity,MN,15,46042,1,13132,2.53,0.06,99.21,0.47,0.59,14,25.03,12.83,14.57,0,0,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11907,11961,0,9097,5646,0,1810,863,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,7.32,3.04,79.99,81.44,87.19,85.51,81.24,85.52,100,0.87,119,13.45,17.65,26.05,26.05,0.12,0.16,0.24,0.24,91.11,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,39700,53200,68900,29200,171,232,303,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.9,1481.2,0.08,?,?,?,?,0,?,0,0,?,?,0,0,9,65.82,67,489.98,283,2069.62,21,153.58,1,7.31,?,2720.49
Maplewoodcity,MN,123,40382,1,30954,2.69,2.52,94.39,2.03,1.55,12.07,25.43,11.42,10.45,30954,100,37856,82.29,0.89,51.08,23.45,4.87,16.45,43154,16459,16637,13140,12365,14634,9502,6914,1874,6.22,4.4,14.64,20.28,4.17,68.12,21.56,22.97,11.78,27,8.23,28.8,11.14,9.75,3.07,76.68,76.9,84.85,81.49,73.51,76.64,666,2.71,812,10.1,10.96,23.77,35.22,0.26,0.29,0.62,0.92,95.05,0.69,3.71,2.75,2.62,2.79,2.08,80.79,1.43,42.87,3,624,94.85,75.86,2.08,25.96,1969,0.35,0.35,73100,87800,106700,33600,376,473,569,193,512,26.9,21.2,12,0,0,2.62,77.05,55.61,81.72,92.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.9,1724.8,3.35,?,?,?,?,0,?,0,0,?,?,27,79.7,37,109.22,226,667.12,1618,4776.1,159,469.34,7,20.66,?,5933.23
Enfieldtown,CT,3,25990,1,45532,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,43944,96.51,44635,84.94,0.71,50.24,24.74,3.78,18.37,48757,16723,17014,8297,13171,12425,10337,11655,1262,2.89,6.55,21.62,17.59,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,8.38,3.13,81.96,79.92,91.04,80.39,63.59,75.19,413,1.3,2377,9.38,11.7,17.12,27.01,0.49,0.61,0.89,1.41,90.41,0.92,4.08,3.15,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,128000,143400,164700,36700,394,563,676,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34.6,1314.3,1.28,?,?,?,?,0,?,1,2.19,0,0,23,50.46,17,37.29,282,618.62,906,1987.5,232,508.94,7,15.36,89.94,3130.42
Glendalecity,CA,?,?,1,180038,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,180038,100,34372,76.17,0.62,40.04,20.3,11.27,11.51,39652,17966,19362,17693,20931,16696,9438,11182,25484,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,11.12,3.22,77.1,74.78,86.01,79.01,52.45,59.33,3034,2.62,81352,30.33,41.41,50.77,60.4,13.71,18.71,22.94,27.29,46.84,15.46,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2,3510,95.13,38.71,2.25,17.69,1962,1.53,0.46,249800,343600,469800,220000,511,626,763,252,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,204,113.73,189,105.36,254080,141645,1245.5,113.7,92.47,78.43,3.92,11.76,5.39,21.08,12,11,16.9,31.7,5677.3,4.15,86,20900410,92.65,5,5.88,116516,9,5.02,30,16.72,355,197.91,277,154.42,1596,889.74,4501,2509.23,1447,806.68,73,40.7,374.07,4246.34
Worthingtoncity,OH,?,?,1,14869,2.67,2.28,94.74,2.67,0.74,13.71,20.33,9.48,12.38,14882,100,49851,81.88,0.89,69.45,23.77,1.59,19.47,58871,22647,22959,12964,15565,22630,9548,7828,340,2.35,1.33,5.95,54.76,2.57,66.85,10.06,43.92,2.33,53.3,5.73,22.37,11.09,8.64,3.01,82.5,82.05,94.94,78,64.94,72.84,86,0.74,704,11.79,16.19,26.85,28.84,0.56,0.77,1.27,1.37,94.75,0.53,2.47,1.9,2.6,2.69,2.14,85.62,0.43,18.79,3,164,97.14,82.53,0.61,30.49,1963,0.18,0.21,89100,117500,148000,58900,303,394,502,199,465,24.6,18.7,11.4,10,0,4.73,58.81,59.75,85.21,89.74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,2552.7,1.96,?,?,?,?,0,?,0,0,2,13.24,10,66.18,5,33.09,99,655.15,414,2739.73,18,119.12,4,26.47,112.5,3540.47
Arlingtoncity,TX,?,?,1,261721,2.6,8.41,82.64,3.92,8.91,14.18,32.78,15.14,4.58,261763,100,35048,90.25,0.81,39.01,11.05,2.71,9.12,41620,16239,17420,11615,13416,11175,7804,9045,21272,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,12.77,3.14,78.19,75.99,87.64,76.69,63.48,71.53,2898,1.89,20006,19.03,30.13,44.66,56.86,1.45,2.3,3.41,4.35,87.44,2.2,4.07,2.8,2.58,2.89,2.25,58,4.95,47.54,3,12116,89.26,51.84,1.81,27.45,1978,5.5,0.14,64100,82800,110200,46100,312,382,469,157,444,23.7,22,11.8,47,1,7.64,51.54,36.76,67.01,84.09,356,121.78,330,112.89,350000,119730.2,983.1,121.8,95.56,87.08,6.74,6.18,0,12.92,28,10,42.1,96.4,2716.3,0.14,98,20195376,92.7,10,7.87,69085.6,7,2.39,146,49.94,710,242.88,1396,477.55,3977,1360.48,11514,3938.78,2452,838.8,97,33.18,772.77,6171.23
Plymouthcity,MN,53,51730,1,50889,2.77,1.61,95.66,2.04,1.02,13.13,26.94,12.19,4.77,50889,100,51314,92.25,1.19,58.68,11.08,2.41,7.95,59421,21908,22294,16470,10181,14316,1754,9794,1681,3.36,1.57,5.56,41.39,3.24,78.05,19.44,22.51,7.08,39.55,7.99,27.64,10.17,9.09,3.14,85.61,86.12,93.55,87.45,66.82,73.32,407,1.31,1330,13.98,22.48,28.95,36.92,0.37,0.59,0.76,0.96,94.19,0.56,3.3,2.51,2.72,2.95,2.08,79.9,1.21,40.32,3,1255,93.6,73.63,0.08,14.5,1979,0.29,0.14,97700,127400,167500,69800,506,578,663,157,611,22.9,21.7,11.5,0,0,2.61,63.24,43.01,76.47,85.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34.1,1491.7,2.64,?,?,?,?,0,?,0,0,?,?,13,21.41,55,90.6,271,446.39,1468,2418.09,100,164.72,62,102.13,?,3131.33
NewYorkcity,NY,?,?,1,7322564,2.6,28.71,52.26,7,24.36,13.06,27.46,13.09,11.62,7322564,100,29823,73.57,0.48,35.38,24.6,13.12,12.56,34360,16281,21972,10505,10861,12851,7151,8420,1384994,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41,14.02,11.77,3.27,57.64,52.24,67.42,59.25,47.37,56.42,527557,10.5,2082931,15.87,25.51,36.37,45.77,4.51,7.26,10.34,13.02,59.04,9.84,9.16,5.71,2.54,2.8,2.43,31.59,12.3,73.76,2,172768,94.23,28.64,4.83,40.33,1946,7.33,1.25,149700,189600,244600,94900,320,448,615,295,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,25655,350.5,22496,307.34,8328470,113784,324.6,350.5,75.94,76.21,11.17,11.82,0.69,23.45,1773,10,242.2,320.1,22878.2,54.33,3187,1617293056,87.69,5,6.91,220955.41,1946,26.59,2818,38.5,86001,1174.95,62778,857.68,99207,1355.37,235132,3212.39,112464,1536.49,4443,60.7,2097.71,6164.95
Marinacity,CA,?,?,1,26436,3.34,18.97,53.6,20.84,10.73,16.16,37.22,19.09,4.13,26436,100,29043,90.39,0.53,28.69,10.74,6.9,15.99,28870,11338,12871,10242,6333,9734,7196,8444,2328,9.67,5.8,15.83,17.01,3.5,75.2,6.69,20.66,9.67,20.38,7.15,24.55,11.83,9.33,3.32,80.12,77.88,90.58,78.19,51.64,64.58,258,1.69,4849,12.27,18.31,29.88,43.12,2.25,3.36,5.48,7.91,71.79,4.31,7.26,6.07,3.05,2.8,3.18,31.74,11.94,55.65,2,353,95.73,34.5,0.57,3.12,1976,1.62,0.24,150800,172500,196500,45700,512,607,689,177,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.1,2917.9,1.93,?,?,?,?,0,?,2,12.89,9,58.03,42,270.79,47,303.03,226,1457.12,547,3526.76,50,322.37,5,32.24,644.75,5338.49
